state,Year ,Population ,,,,,,,,,,,,,,,,
ALABAMA,2016,,,,,,,,,,,,,,,,,
ALASKA,2016,,,,,,,,,,,,,,,,,
ARIZONA,2016,,,,,,,,,,,,,,,,,
ARKANSAS,2016,,,,,,,,,,,,,,,,,
CALIFORNIA,2016,,,,,,,,,,,,,,,,,
COLORADO,2016,,,,,,,,,,,,,,,,,
CONNECTICUT,2016,,,,,,,,,,,,,,,,,
DELAWARE,2016,,,,,,,,,,,,,,,,,
FLORIDA,2016,,,,,,,,,,,,,,,,,
GEORGIA,2016,,,,,,,,,,,,,,,,,
HAWAII,2016,,,,,,,,,,,,,,,,,
IDAHO,2016,,,,,,,,,,,,,,,,,
ILLINOIS,2016,,,,,,,,,,,,,,,,,
INDIANA,2016,,,,,,,,,,,,,,,,,
IOWA,2016,,,,,,,,,,,,,,,,,
KANSAS,2016,,,,,,,,,,,,,,,,,
KENTUCKY,2016,,,,,,,,,,,,,,,,,
LOUISIANA,2016,,,,,,,,,,,,,,,,,
MAINE,2016,,,,,,,,,,,,,,,,,
MARYLAND,2016,,,,,,,,,,,,,,,,,
MASSACHUSETTS,2016,,,,,,,,,,,,,,,,,
MICHIGAN,2016,,,,,,,,,,,,,,,,,
MINNESOTA,2016,,,,,,,,,,,,,,,,,
MISSISSIPPI,2016,,,,,,,,,,,,,,,,,
MISSOURI,2016,,,,,,,,,,,,,,,,,
MONTANA,2016,,,,,,,,,,,,,,,,,
NEBRASKA,2016,,,,,,,,,,,,,,,,,
NEVADA,2016,,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,2016,,,,,,,,,,,,,,,,,
NEW JERSEY,2016,,,,,,,,,,,,,,,,,
NEW MEXICO,2016,,,,,,,,,,,,,,,,,
NEW YORK,2016,,,,,,,,,,,,,,,,,
NORTH CAROLINA,2016,,,,,,,,,,,,,,,,,
NORTH DAKOTA,2016,,,,,,,,,,,,,,,,,
OHIO,2016,,,,,,,,,,,,,,,,,
OKLAHOMA,2016,,,,,,,,,,,,,,,,,
OREGON,2016,,,,,,,,,,,,,,,,,1000
PENNSYLVANIA,2016,,,,,,,,,,,,,,,,,
RHODE ISLAND,2016,,,,,,,,,,,,,,,,,
SOUTH CAROLINA,2016,,,,,,,,,,,,,,,,,
SOUTH DAKOTA,2016,,,,,,,,,,,,,,,,,
TENNESSEE,2016,,,,,,,,,,,,,,,,,
TEXAS,2016,,,,,,,,,,,,,,,,,
UTAH,2016,,,,,,,,,,,,,,,,,
VERMONT,2016,,,,,,,,,,,,,,,,,
VIRGINIA,2016,,,,,,,,,,,,,,,,,
WASHINGTON,2016,,,,,,,,,,,,,,,,,
WEST VIRGINIA,2016,,,,,,,,,,,,,,,,,
WISCONSIN,2016,,,,,,,,,,,,,,,,,
WYOMING,2016,,,,,,,,,,,,,,,,,
ALABAMA,2018," 4,891,628 ",,,,,,,,,,,,,,,,
ALASKA,2018," 736,624 ",,,,,,,,,,,,,,,,
ARIZONA,2018," 7,164,228 ",,,,,,,,,,,,,,,,
ARKANSAS,2018," 3,012,161 ",,,,,,,,,,,,,,,,
CALIFORNIA,2018," 39,437,463 ",,,,,,,,,,,,,,,,
COLORADO,2018," 5,697,155 ",,,,,,,,,,,,,,,,
CONNECTICUT,2018," 3,574,561 ",,,,,,,,,,,,,,,,
DELAWARE,2018," 966,985 ",,,,,,,,,,,,,,,,
FLORIDA,2018," 21,254,926 ",,,,,,,,,,,,,,,,
GEORGIA,2018," 10,519,389 ",,,,,,,,,,,,,,,,
HAWAII,2018," 1,423,102 ",,,,,,,,,,,,,,,,
IDAHO,2018," 1,752,074 ",,,,,,,,,,,,,,,,
ILLINOIS,2018," 12,724,685 ",,,,,,,,,,,,,,,,
INDIANA,2018," 6,698,481 ",,,,,,,,,,,,,,,,
IOWA,2018," 3,149,900 ",,,,,,,,,,,,,,,,
KANSAS,2018," 2,912,748 ",,,,,,,,,,,,,,,,
KENTUCKY,2018," 4,464,273 ",,,,,,,,,,,,,,,,
LOUISIANA,2018," 4,664,450 ",,,,,,,,,,,,,,,,
MAINE,2018," 1,340,123 ",,,,,,,,,,,,,,,,
MARYLAND,2018," 6,042,153 ",,,,,,,,,,,,,,,,
MASSACHUSETTS,2018," 6,885,720 ",,,,,,,,,,,,,,,,
MICHIGAN,2018," 9,987,286 ",,,,,,,,,,,,,,,,
MINNESOTA,2018," 5,608,762 ",,,,,,,,,,,,,,,,
MISSISSIPPI,2018," 2,982,879 ",,,,,,,,,,,,,,,,
MISSOURI,2018," 6,125,986 ",,,,,,,,,,,,,,,,
MONTANA,2018," 1,061,818 ",,,,,,,,,,,,,,,,
NEBRASKA,2018," 1,925,512 ",,,,,,,,,,,,,,,,
NEVADA,2018," 3,030,725 ",,,,,,,,,,,,,,,,
NEW HAMPSHIRE,2018," 1,355,064 ",,,,,,,,,,,,,,,,
NEW JERSEY,2018," 8,891,730 ",,,,,,,,,,,,,,,,
NEW MEXICO,2018," 2,093,754 ",,,,,,,,,,,,,,,,
NEW YORK,2018," 19,544,098 ",,,,,,,,,,,,,,,,
NORTH CAROLINA,2018," 10,391,358 ",,,,,,,,,,,,,,,,
NORTH DAKOTA,2018," 760,062 ",,,,,,,,,,,,,,,,
OHIO,2018," 11,680,892 ",,,,,,,,,,,,,,,,
OKLAHOMA,2018," 3,943,488 ",,,,,,,,,,,,,,,,
OREGON,2018," 4,183,538 ",,,,,,,,,,,,,,,,
PENNSYLVANIA,2018," 12,809,107 ",,,,,,,,,,,,,,,,
RHODE ISLAND,2018," 1,059,338 ",,,,,,,,,,,,,,,,
SOUTH CAROLINA,2018," 5,091,702 ",,,,,,,,,,,,,,,,
SOUTH DAKOTA,2018," 879,386 ",,,,,,,,,,,,,,,,
TENNESSEE,2018," 6,778,180 ",,,,,,,,,,,,,,,,
TEXAS,2018," 28,624,564 ",,,,,,,,,,,,,,,,
UTAH,2018," 3,155,153 ",,,,,,,,,,,,,,,,
VERMONT,2018," 624,802 ",,,,,,,,,,,,,,,,
VIRGINIA,2018," 8,510,920 ",,,,,,,,,,,,,,,,
WASHINGTON,2018," 7,526,793 ",,,,,,,,,,,,,,,,
WEST VIRGINIA,2018," 1,805,953 ",,,,,,,,,,,,,,,,
WISCONSIN,2018," 5,809,319 ",,,,,,,,,,,,,,,,
WYOMING,2018," 579,054 ",,,,,,,,,,,,,,,,
ALABAMA,2019," 4,907,965 ",,,,,,,,,,,,,,,,
ALASKA,2019," 733,603 ",,,,,,,,,,,,,,,,
ARIZONA,2019," 7,291,843 ",,,,,,,,,,,,,,,,
ARKANSAS,2019," 3,020,985 ",,,,,,,,,,,,,,,,
